                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9174,                 3.0848,                 3.1399,                 1.1471,                0.02068,                0.68096,                 0.0349,                0.01772,                0.02094,                0.68954,                0.04272,                0.01722,                 1.5158,                 2.1762,                 3.3681,                0.97687,                0.00038,                0.00038,                0.00038
                      2,                 1.4847,                 2.1174,                 1.3676,                0.96941,                0.01953,                0.64322,                0.01818,                0.00887,                0.02005,                0.66038,                0.01871,                0.00861,                 1.2965,                 2.5322,                  3.424,                0.92888,             0.00077228,             0.00077228,             0.00077228
                      3,                 1.3641,                 1.8843,                 1.1229,                0.93499,                0.02641,                0.86964,                0.14763,                0.09124,                0.02745,                0.90395,                0.15213,                0.09598,                  1.205,                 1.7306,                 2.8773,                 0.9022,              0.0011566,              0.0011566,              0.0011566
                      4,                 1.2817,                 1.6775,                0.99741,                0.91806,                0.94131,                0.41269,                0.76453,                0.44207,                0.93753,                 0.4271,                0.76756,                0.45663,                 1.3329,                 1.6899,                  2.321,                 0.9218,              0.0015331,              0.0015331,              0.0015331
                      5,                  1.348,                 1.7319,                0.97088,                0.92821,                0.64681,                0.77187,                0.67973,                0.40264,                0.64394,                0.76844,                0.67905,                0.40451,                 1.2083,                 1.5973,                 1.4642,                0.89843,              0.0019016,              0.0019016,              0.0019016
                      6,                 1.1926,                 1.5621,                0.90293,                0.89961,                0.87913,                0.89022,                0.94543,                0.64838,                0.87575,                0.88679,                0.93787,                0.52978,                  1.114,                 1.5387,                 1.1476,                0.89248,               0.001901,               0.001901,               0.001901
                      7,                 1.1404,                 1.5053,                0.83584,                0.89028,                0.91495,                0.90418,                0.96332,                0.68138,                0.90801,                0.89732,                0.95208,                0.57646,                 1.0259,                 1.3526,                 1.0055,                0.87086,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1217,                 1.4706,                 0.7877,                0.88693,                0.89492,                0.89194,                0.95091,                0.67063,                0.90391,                0.87307,                0.94569,                0.52899,                 1.0798,                 1.4104,                0.84956,                0.87952,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1323,                 1.4401,                0.79349,                0.89764,                0.91845,                0.90797,                0.96353,                0.66681,                0.91855,                0.88978,                0.94996,                0.52806,                 1.0534,                 1.2635,                0.87856,                0.87499,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0949,                 1.3699,                0.75117,                0.88888,                0.92458,                0.91767,                0.96708,                 0.7097,                0.92021,                0.90909,                0.96175,                0.57024,                0.95115,                 1.1132,                0.70833,                0.85452,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0199,                 1.2923,                0.74493,                0.87268,                0.91215,                0.91081,                0.95462,                 0.6983,                0.90832,                0.90566,                0.94564,                0.56974,                0.96408,                 1.2787,                0.82043,                0.86374,               0.001802,               0.001802,               0.001802
                     12,                 1.0112,                 1.3093,                0.71093,                0.86757,                0.93134,                0.93074,                0.97406,                0.72365,                0.92993,                0.93482,                 0.9727,                0.63026,                0.91306,                 1.1486,                0.63776,                0.85307,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0094,                 1.2991,                0.69705,                 0.8682,                0.90511,                 0.9331,                 0.9711,                0.71911,                0.90804,                0.93482,                0.97206,                0.65363,                0.93408,                 1.1452,                0.65447,                0.85682,              0.0017624,              0.0017624,              0.0017624
                     14,                0.98622,                 1.2681,                0.66701,                0.86598,                0.93132,                0.95367,                0.98356,                0.72207,                0.92797,                0.95024,                0.97913,                 0.5806,                0.92817,                 1.2251,                0.63466,                0.85002,              0.0017426,              0.0017426,              0.0017426
                     15,                0.97122,                 1.2588,                0.65018,                0.85942,                0.96657,                0.93654,                0.98562,                0.75348,                 0.9648,                0.93482,                0.98254,                0.65573,                0.83005,                 1.0177,                0.59611,                 0.8376,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.9697,                 1.2341,                0.63612,                0.85341,                0.94943,                0.92281,                0.98005,                  0.745,                 0.9459,                0.91938,                0.97819,                0.64604,                0.88345,                 1.0718,                0.58293,                0.84749,               0.001703,               0.001703,               0.001703
                     17,                0.88322,                 1.1465,                0.59904,                0.84895,                0.96299,                0.93738,                0.98623,                0.77462,                0.95947,                0.93395,                0.98286,                0.62054,                0.80375,                 1.0561,                0.55994,                0.83251,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.8736,                 1.0993,                0.59398,                0.84744,                0.94273,                0.94168,                0.98296,                0.78079,                0.94452,                0.93482,                0.98059,                0.64006,                0.76373,                0.97159,                0.53827,                0.82336,              0.0016634,              0.0016634,              0.0016634
